025-01-20 00:20:47,005 - doc_processing_api - INFO - Incoming request: POST http://localhost:8001/api/v1/cv/analyze
2025-01-20 01:13:31,690 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:13:34,761 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:13:34,761 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:13:34,761 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:14:03,244 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:14:03,244 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:14:03,244 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:14:05,997 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:14:05,997 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:14:05,997 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:14:52,973 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/documents/analyze
2025-01-20 01:14:52,973 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/documents/analyze
2025-01-20 01:14:52,973 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/documents/analyze
2025-01-20 01:14:52,983 - doc_processing_api - INFO - Starting analysis of document: facture_test.pdf
2025-01-20 01:14:52,983 - doc_processing_api - INFO - Starting analysis of document: facture_test.pdf
2025-01-20 01:14:52,983 - doc_processing_api - INFO - Starting analysis of document: facture_test.pdf
2025-01-20 01:14:52,984 - doc_processing_api - INFO - Content type: application/pdf
2025-01-20 01:14:52,984 - doc_processing_api - INFO - Content type: application/pdf
2025-01-20 01:14:52,984 - doc_processing_api - INFO - Content type: application/pdf
2025-01-20 01:14:52,984 - doc_processing_api - INFO - File size: 1009 bytes
2025-01-20 01:14:52,984 - doc_processing_api - INFO - File size: 1009 bytes
2025-01-20 01:14:52,984 - doc_processing_api - INFO - File size: 1009 bytes
2025-01-20 01:14:52,985 - doc_processing_api - INFO - Validation result: ValidationResult(is_valid=True, errors=[], warnings=[])
